microservice,type,parameter,categorical,discrete,float,range,step,conditional,units,comments
media-memcached,memcached,m,,1,,64;20000,1000,,,
media-memcached,memcached,c,,1,,512;2048,512,,,
media-memcached,memcached,R,,1,,1;100,20,,,
media-memcached,memcached,t,,1,,1;24,2,,,
media-memcached,memcached,f,,,1,1.01;3,0.25,,,
post-storage-memcached,memcached,m,,1,,64;20000,1000,,,maximum memory in megabytes only. 10% to 50% of the total RAm
post-storage-memcached,memcached,c,,1,,512;2048,512,,,max simultaneous connections. Should match the client pool size or slightly bigger
post-storage-memcached,memcached,R,,1,,1;100,20,,,client starvation
post-storage-memcached,memcached,t,,1,,1;24,2,,,threads
post-storage-memcached,memcached,f,,,1,1.01;3,0.25,,,chunk growth factor
url-shorten-memcached,memcached,m,,1,,64;20000,1000,,,
url-shorten-memcached,memcached,c,,1,,512;2048,512,,,
url-shorten-memcached,memcached,R,,1,,1;100,20,,,
url-shorten-memcached,memcached,t,,1,,1;24,2,,,
url-shorten-memcached,memcached,f,,,1,1.01;3,0.25,,,
user-memcached,memcached,m,,1,,64;20000,1000,,,
user-memcached,memcached,c,,1,,512;2048,512,,,
user-memcached,memcached,R,,1,,1;100,20,,,
user-memcached,memcached,t,,1,,1;24,2,,,
user-memcached,memcached,f,,,1,1.01;3,0.25,,,
media-mongodb,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,
media-mongodb,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
media-mongodb,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
media-mongodb,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
media-mongodb,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
post-storage-mongodb,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,in GBs float
post-storage-mongodb,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
post-storage-mongodb,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
post-storage-mongodb,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
post-storage-mongodb,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
social-graph-mongodb,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,
social-graph-mongodb,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
social-graph-mongodb,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
social-graph-mongodb,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
social-graph-mongodb,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
url-shorten-mongodb,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,
url-shorten-mongodb,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
url-shorten-mongodb,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
url-shorten-mongodb,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
url-shorten-mongodb,mongo,wiredTigerConcurrentWriteTransactions,,1,,32;256,32,,,
user-mongodb,mongo,wiredTigerCacheSizeGB,,,1,0.25;19.5,1,,,
user-mongodb,mongo,serviceExecutor,1,1,,synchronous;adaptive,,,,
user-mongodb,mongo,wiredTigerCollectionBlockCompressor,1,1,,none;snappy;zlib;zstd,,,,
user-mongodb,mongo,wiredTigerConcurrentReadTransactions,,1,,32;256,32,,,
